CollegeID,BC,BO,FRU
IR-E-C-1412.pdf,14782.31564,133113.5784,7.82
IR-E-U-0064.pdf,165558.0114,390246.1054,18.73
IR-E-C-16604.pdf,11471.40204,227330.789,11.13
IR-E-U-0149.pdf,23119.46206,255449.703,11.74
IR-E-U-0197.pdf,92002.50908,262275.7061,14.59
IR-E-I-1356.pdf,7342.04126,65136.5187,4.28
IR-E-I-1480.pdf,39204.79071,251505.2017,12.73
IR-E-U-0613.pdf,62250.31469,205711.4141,11.03
IR-E-U-0055.pdf,50341.19714,221595.4552,12.58
IR-E-U-0489.pdf,7320.042726,74465.6975,4.87
IR-E-U-0615.pdf,94439.69506,275433.1968,12.68
IR-E-C-1400.pdf,8839.096478,116586.0303,7.38
IR-E-U-0130.pdf,16344.22176,157676.2075,8.97
IR-E-U-0620.pdf,29511.35135,257872.6298,12.53
IR-E-U-0011.pdf,21717.53449,94499.69146,6.23
IR-E-I-1093.pdf,12061.54129,115733.3409,5.9
IR-E-C-33777.pdf,22083.09137,131419.672,8.75
IR-E-U-0685.pdf,19125.03322,138361.3003,8.34
IR-E-U-0207.pdf,54688.65216,234588.9381,12.55
IR-E-U-0530.pdf,53051.98838,280253.9176,13.9
IR-E-U-0108.pdf,6060.576754,201811.0121,9.77
IR-E-C-1345.pdf,13657.69988,122427.2485,7.04
IR-E-U-0454.pdf,23320.48126,76173.35284,4.47
IR-E-U-0747.pdf,53512.32583,169715.9973,10.63
IR-E-U-0373.pdf,22734.03747,150108.1955,9.07
IR-E-S-8898.pdf,177199.4977,310124.9652,15.49
IR-E-U-0163.pdf,20093.51228,282563.0646,11
IR-E-C-1269.pdf,10175.55759,125041.0688,8.06
IR-E-C-16504.pdf,17252.47794,75463.38022,4.86
IR-E-I-1441.pdf,29404.73086,113377.3882,8.13
IR-E-C-24004.pdf,204520.1175,182400.471,14.76
IR-E-C-19607.pdf,10280.53927,98539.15978,6.01
IR-E-C-33773.pdf,9673.912987,137313.5161,8.61
IR-E-C-26794.pdf,18741.63547,116233.7932,7.74
IR-E-C-19582.pdf,2335.551833,94331.58307,5.17
IR-E-U-0169.pdf,6530.149196,138483.6538,6.59
IR-E-C-43708.pdf,11980.20566,161145.9626,9.06
IR-E-U-0190.pdf,12673.57839,81008.48256,5.19
IR-E-U-0555.pdf,65452.19172,201512.5044,12.64
IR-E-U-0619.pdf,90608.23787,211353.6849,12.43
IR-E-U-0147.pdf,49949.83554,184898.0197,12.13
IR-E-C-37065.pdf,6913.401081,131879.1251,6.76
IR-E-C-7252.pdf,16201.16076,150748.7757,8.97
IR-E-U-0020.pdf,12588.83557,108760.5523,6.6
IR-E-C-18886.pdf,9879.734036,133892.491,7.8
IR-E-U-0878.pdf,301365.8794,307305.8681,18.33
IR-E-U-0765.pdf,31996.66753,224977.6568,10.53
IR-E-C-36969.pdf,7524.263972,145486.5763,7.68
IR-E-U-0439.pdf,69192.29367,194032.691,10.69
IR-E-C-18010.pdf,18343.13424,69542.07928,5.5
IR-E-U-0172.pdf,37996.54715,256145.4475,13.03
IR-E-U-0493.pdf,51343.21926,195127.6572,10.45
IR-E-U-0223.pdf,26441.82997,97933.64237,6.45
IR-E-C-19650.pdf,7089.207375,87357.81996,5.59
IR-E-U-0105.pdf,115385.8911,276249.2526,15.72
IR-E-U-0535.pdf,270747.122,320835.5203,17.43
IR-E-U-0564.pdf,17909.92645,290593.2965,11.32
IR-E-U-0384.pdf,21062.49163,304274.2356,12.62
IR-E-U-0621.pdf,42989.50305,107456.8381,8.74
IR-E-C-37064.pdf,29229.35466,177821.3485,8.75
IR-E-C-6379.pdf,18026.58213,135488.4965,8.72
IR-E-U-0491.pdf,42450.98547,60802.2367,4.61
IR-E-U-0017.pdf,92587.7598,271507.1696,16.05
IR-E-U-0844.pdf,269995.8424,474618.9138,22.71
IR-E-U-0938.pdf,13756.75821,208847.375,9.81
IR-E-C-1336.pdf,19625.42914,97914.03714,8.15
IR-E-U-0168.pdf,12142.734,131704.267,5.62
IR-E-U-0334.pdf,84372.35126,291583.397,14.74
IR-E-C-18254.pdf,3829.931848,112591.5921,7.07
IR-E-U-0749.pdf,10797.38093,171063.0925,8.79
IR-E-U-0072.pdf,35563.50349,216844.8874,12.82
IR-E-U-0643.pdf,13885.63214,106891.2893,5.97
IR-E-U-0474.pdf,63050.50335,126770.349,8.35
IR-E-U-0237.pdf,98604.86515,376376.9211,18.22
IR-E-C-42227.pdf,13662.77117,73069.17359,5.94
IR-E-U-0460.pdf,10590.80098,143095.2434,6.29
IR-E-C-18817.pdf,26090.08533,92938.50051,6.6
IR-E-C-36975.pdf,18395.15216,90588.49984,6.12
IR-E-U-0614.pdf,169188.4124,210513.3726,12.68
IR-E-U-0774.pdf,13433.21015,204714.5786,9.21
IR-E-U-0202.pdf,57356.74095,245135.8787,11.52
IR-E-C-27058.pdf,11469.10356,94895.91778,6.06
IR-E-C-16614.pdf,9057.194106,159628.4034,8.16
IR-E-U-0410.pdf,33546.08012,241731.968,11.58
IR-E-C-6581.pdf,9035.70867,169493.5015,8.42
IR-E-C-46111.pdf,12082.70328,92012.29308,6.3
IR-E-U-0273.pdf,150806.6707,498612.1504,19.31
IR-E-C-16626.pdf,31436.0319,104179.0018,7.47
IR-E-U-0513.pdf,7431.789597,91015.08332,5.54
IR-E-C-45375.pdf,173657.8277,503539.6534,19.48
IR-E-C-19667.pdf,6195.906022,95564.49972,6.38
IR-E-U-0175.pdf,74456.47415,141629.6917,12.07
IR-E-U-0616.pdf,30251.79992,184397.1558,8.64
IR-E-I-1015.pdf,16209.24254,100017.514,7.93
IR-E-I-1075.pdf,142492.072,906071.6423,24.7
IR-E-U-0363.pdf,72041.58866,65844.97863,14.04
IR-E-C-17958.pdf,21270.14897,55824.76289,8.25
IR-E-C-27089.pdf,5765.333842,191877.5281,4.85
IR-E-U-0043.pdf,8231.063648,135448.3541,4.47
IR-E-C-41593.pdf,26648.05211,81319.86111,13.23
IR-E-C-35417.pdf,26238.86844,193526.2256,6.54
IR-E-U-0249.pdf,180938.5461,445636.961,22.32
IR-E-C-1371.pdf,20488.30045,21636.49459,7.46
IR-E-U-0795.pdf,68889.42822,606387.9931,11.07
IR-E-C-19747.pdf,15133.91641,307937.0891,6.39
IR-E-U-0025.pdf,68330.33954,118726.7687,15.85
