CollegeID,NE,NT,NP,SS
IR-E-C-1412.pdf,4396,4560,164,12.07
IR-E-U-0064.pdf,1432,1631,577,10.58
IR-E-C-16604.pdf,3988,3780,485,12.5
IR-E-U-0149.pdf,3974,4599,858,14.37
IR-E-U-0197.pdf,2961,3080,252,12.09
IR-E-I-1356.pdf,1478,1584,162,9
IR-E-I-1480.pdf,8292,8948,683,16.51
IR-E-U-0613.pdf,752,870,160,7.19
IR-E-U-0055.pdf,3515,3558,641,14.37
IR-E-U-0489.pdf,8670,10128,380,13.84
IR-E-U-0615.pdf,689,950,168,5.35
IR-E-C-1400.pdf,4585,4342,62,12
IR-E-U-0130.pdf,1859,1914,62,8.28
IR-E-U-0620.pdf,695,772,82,6.4
IR-E-U-0011.pdf,14122,17640,840,13.01
IR-E-I-1093.pdf,4472,5490,0,11
IR-E-C-33777.pdf,2965,2658,30,9.5
IR-E-U-0685.pdf,1912,2147,145,9.01
IR-E-U-0207.pdf,3186,3454,329,11.69
IR-E-U-0530.pdf,4938,5043,571,16.22
IR-E-U-0108.pdf,1780,1713,348,10.5
IR-E-C-1345.pdf,2856,3184,175,11.42
IR-E-U-0454.pdf,4123,6535,422,9.52
IR-E-U-0747.pdf,13303,13284,609,18
IR-E-U-0373.pdf,5886,6258,253,13.7
IR-E-S-8898.pdf,753,879,109,7.14
IR-E-U-0163.pdf,1372,1506,94,7.83
IR-E-C-1269.pdf,5536,4906,313,13.5
IR-E-C-16504.pdf,3331,3738,46,9.36
IR-E-I-1441.pdf,5340,5340,289,14.5
IR-E-C-24004.pdf,3024,3024,213,12.5
IR-E-C-19607.pdf,4945,5040,16,13.25
IR-E-C-33773.pdf,1237,1032,54,8.5
IR-E-C-26794.pdf,3705,3470,227,11.5
IR-E-C-19582.pdf,4415,4896,3,10.82
IR-E-U-0169.pdf,2005,2358,151,8.65
IR-E-C-43708.pdf,3583,3388,200,12.5
IR-E-U-0190.pdf,953,1012,108,9.06
IR-E-U-0555.pdf,3984,4002,227,12.95
IR-E-U-0619.pdf,697,803,162,7.21
IR-E-U-0147.pdf,3901,3786,173,11.5
IR-E-C-37065.pdf,6400,7131,198,12.12
IR-E-C-7252.pdf,9345,8894,189,15.5
IR-E-U-0020.pdf,13320,13884,716,16.39
IR-E-C-18886.pdf,3672,3522,29,10.5
IR-E-U-0878.pdf,670,791,101,6.08
IR-E-U-0765.pdf,703,916,72,5.6
IR-E-C-36969.pdf,2996,3220,195,10.77
IR-E-U-0439.pdf,11058,13583,2094,17.21
IR-E-C-18010.pdf,5120,4884,77,13.5
IR-E-U-0172.pdf,4692,4838,437,13.64
IR-E-U-0493.pdf,3326,4007,353,11.96
IR-E-U-0223.pdf,4349,5494,164,12.69
IR-E-C-19650.pdf,3912,3798,2,10.5
IR-E-U-0105.pdf,2158,2306,242,10.42
IR-E-U-0535.pdf,587,804,96,5.38
